"title","drive_file_id","source_url","local_webp_path","cloudinary_secure_url","cloudinary_public_id","status","error"
"Centerpoint and Waco","1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l","https://drive.google.com/file/d/1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/centerpoint-and-waco--1yWhJ8buFM.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786718/public-art-map/public-art-map/1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l.webp","public-art-map/public-art-map/1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l","ok",""
"Lake Air and Waco","1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V","https://drive.google.com/file/d/1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/lake-air-and-waco--1p7_kdoAp8.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786716/public-art-map/public-art-map/1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V.webp","public-art-map/public-art-map/1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V","ok",""
"Towne Oaks and Waco","1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_","https://drive.google.com/file/d/1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/towne-oaks-and-waco--1G-Wm1fv8X.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786720/public-art-map/public-art-map/1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_.webp","public-art-map/public-art-map/1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_","ok",""
"Talbots and Waco","1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu","https://drive.google.com/file/d/1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/talbots-and-waco--1E-f8ewRrS.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786717/public-art-map/public-art-map/1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu.webp","public-art-map/public-art-map/1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu","ok",""
"New Rd and Waco","1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a","https://drive.google.com/file/d/1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/new-rd-and-waco--1oNVT1272Y.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786719/public-art-map/public-art-map/1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a.webp","public-art-map/public-art-map/1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a","ok",""
"Valley Mills and Waco","13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE","https://drive.google.com/file/d/13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/valley-mills-and-waco--13I8vKyQA_.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786721/public-art-map/public-art-map/13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE.webp","public-art-map/public-art-map/13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE","ok",""
"38th and Waco","1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo","https://drive.google.com/file/d/1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/38th-and-waco--1_PxoAc6NC.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786722/public-art-map/public-art-map/1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo.webp","public-art-map/public-art-map/1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo","ok",""
"36th and Waco","1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG","https://drive.google.com/file/d/1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG/view?usp=sharing","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/36th-and-waco--1BsT0mN-49.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786724/public-art-map/public-art-map/1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG.webp","public-art-map/public-art-map/1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG","ok",""
"29th and Waco","1ILvpLHfUrum1POp27O3obb0JZM-gqnll","https://drive.google.com/file/d/1ILvpLHfUrum1POp27O3obb0JZM-gqnll/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/29th-and-waco--1ILvpLHfUr.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786723/public-art-map/public-art-map/1ILvpLHfUrum1POp27O3obb0JZM-gqnll.webp","public-art-map/public-art-map/1ILvpLHfUrum1POp27O3obb0JZM-gqnll","ok",""
"25th/26th and Waco","1DOBbUh0ktUQshqG98A5B_95tJc19dDjA","https://drive.google.com/file/d/1DOBbUh0ktUQshqG98A5B_95tJc19dDjA/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/25th-26th-and-waco--1DOBbUh0kt.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786728/public-art-map/public-art-map/1DOBbUh0ktUQshqG98A5B_95tJc19dDjA.webp","public-art-map/public-art-map/1DOBbUh0ktUQshqG98A5B_95tJc19dDjA","ok",""
"18th and Waco Dr","1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP","https://drive.google.com/file/d/1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/18th-and-waco-dr--1fvW6jbQ9T.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786725/public-art-map/public-art-map/1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP.webp","public-art-map/public-art-map/1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP","ok",""
"15th and Waco","1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5","https://drive.google.com/file/d/1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/15th-and-waco--1E0zqRQAbU.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786726/public-art-map/public-art-map/1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5.webp","public-art-map/public-art-map/1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5","ok",""
"12th and Waco Dr","1Xdb-U-3FrLHf1LdQ4kWyYK_hw5dsgQNT","https://drive.google.com/file/d/1Xdb-U-3FrLHf1LdQ4kWyYK_hw5dsgQNT/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/12th-and-waco-dr--1Xdb-U-3Fr.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786730/public-art-map/public-art-map/1Xdb-U-3FrLHf1LdQ4kWyYK_hw5dsgQNT.webp","public-art-map/public-art-map/1Xdb-U-3FrLHf1LdQ4kWyYK_hw5dsgQNT","ok",""
"11th and Waco Dr","1VXOVe74W8cqE2voRVJI21G0g6KmE9LUa","https://drive.google.com/file/d/1VXOVe74W8cqE2voRVJI21G0g6KmE9LUa/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/11th-and-waco-dr--1VXOVe74W8.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786733/public-art-map/public-art-map/1VXOVe74W8cqE2voRVJI21G0g6KmE9LUa.webp","public-art-map/public-art-map/1VXOVe74W8cqE2voRVJI21G0g6KmE9LUa","ok",""
"09th and Waco","1uQRG7VH58RGUK3ouc1zvxCAnnaTQ29oe","https://drive.google.com/file/d/1uQRG7VH58RGUK3ouc1zvxCAnnaTQ29oe/view?usp=sharing","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/09th-and-waco--1uQRG7VH58.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786736/public-art-map/public-art-map/1uQRG7VH58RGUK3ouc1zvxCAnnaTQ29oe.webp","public-art-map/public-art-map/1uQRG7VH58RGUK3ouc1zvxCAnnaTQ29oe","ok",""
"04th/05th and Waco","1lFCRXC53r8IpYurUTKNyLdp8UEMpZpGg","https://drive.google.com/file/d/1lFCRXC53r8IpYurUTKNyLdp8UEMpZpGg/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/04th-05th-and-waco--1lFCRXC53r.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786735/public-art-map/public-art-map/1lFCRXC53r8IpYurUTKNyLdp8UEMpZpGg.webp","public-art-map/public-art-map/1lFCRXC53r8IpYurUTKNyLdp8UEMpZpGg","ok",""
"Turner and Waco","13I1s8zgXbpaJaMEPRMBe3QzOXv2d60pe","https://drive.google.com/file/d/13I1s8zgXbpaJaMEPRMBe3QzOXv2d60pe/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/turner-and-waco--13I1s8zgXb.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786737/public-art-map/public-art-map/13I1s8zgXbpaJaMEPRMBe3QzOXv2d60pe.webp","public-art-map/public-art-map/13I1s8zgXbpaJaMEPRMBe3QzOXv2d60pe","ok",""
"Clifton and Waco","1Eoh4VtMvCaeQBq9BY36JsgjX3N23PhnM","https://drive.google.com/file/d/1Eoh4VtMvCaeQBq9BY36JsgjX3N23PhnM/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/clifton-and-waco--1Eoh4VtMvC.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786738/public-art-map/public-art-map/1Eoh4VtMvCaeQBq9BY36JsgjX3N23PhnM.webp","public-art-map/public-art-map/1Eoh4VtMvCaeQBq9BY36JsgjX3N23PhnM","ok",""
"Garrison & East Waco Dr.","1Vdrz2QEUe__Kzqjmg0s3W36yeV8IzFJw","https://drive.google.com/file/d/1Vdrz2QEUe__Kzqjmg0s3W36yeV8IzFJw/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/garrison-east-waco-dr--1Vdrz2QEUe.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786739/public-art-map/public-art-map/1Vdrz2QEUe__Kzqjmg0s3W36yeV8IzFJw.webp","public-art-map/public-art-map/1Vdrz2QEUe__Kzqjmg0s3W36yeV8IzFJw","ok",""
"Dallas & East Waco Dr.","17xyDspc-KYpylimlePRZK-zI-sgboNlL","https://drive.google.com/file/d/17xyDspc-KYpylimlePRZK-zI-sgboNlL/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/dallas-east-waco-dr--17xyDspc-K.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786741/public-art-map/public-art-map/17xyDspc-KYpylimlePRZK-zI-sgboNlL.webp","public-art-map/public-art-map/17xyDspc-KYpylimlePRZK-zI-sgboNlL","ok",""
"5th Street & West Waco Dr.","1HGwRSsDrNEwk7l7VwYVjEn2UAu3YnY-O","https://drive.google.com/file/d/1HGwRSsDrNEwk7l7VwYVjEn2UAu3YnY-O/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/5th-street-west-waco-dr--1HGwRSsDrN.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786740/public-art-map/public-art-map/1HGwRSsDrNEwk7l7VwYVjEn2UAu3YnY-O.webp","public-art-map/public-art-map/1HGwRSsDrNEwk7l7VwYVjEn2UAu3YnY-O","ok",""
"17th Street & West Waco Dr.","1ftVDaTis_B7WH6WMujT3F75ss9PsrHph","https://drive.google.com/file/d/1ftVDaTis_B7WH6WMujT3F75ss9PsrHph/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/17th-street-west-waco-dr--1ftVDaTis_.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786742/public-art-map/public-art-map/1ftVDaTis_B7WH6WMujT3F75ss9PsrHph.webp","public-art-map/public-art-map/1ftVDaTis_B7WH6WMujT3F75ss9PsrHph","ok",""
"18th Street & West Waco Dr.","1etVjZgexxjqNfYf5FCS9UjwCCeAlhCIl","https://drive.google.com/file/d/1etVjZgexxjqNfYf5FCS9UjwCCeAlhCIl/view?usp=drive_link","/Users/joshuarizzo/Apps/Creative Waco/Public Art Map/downloads/drive-photos-web/18th-street-west-waco-dr--1etVjZgexx.webp","https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776786744/public-art-map/public-art-map/1etVjZgexxjqNfYf5FCS9UjwCCeAlhCIl.webp","public-art-map/public-art-map/1etVjZgexxjqNfYf5FCS9UjwCCeAlhCIl","ok","""
"
